words,tagname
artifice has always stood upon natures shoulders let us watch nature take a turn freyalise,Tapestry
for glory for justice for our queen,Tapestry
virtue is virtue whatever the heart that nurtures it malacan vantress exile,Tapestry
for good or ill most fae cant resist meddling in the adventures of any knight they meet,Tapestry
oh does your nose itch,Tapestry
fascinated by the lore of ancient struggles archaeologists search incessantly for remnants of an earlier more powerful era,Tapestry
and furthermore,NONE
hurkyls research at the college of latnam wasnt enough to stop the two brothers but for centuries thereafter her spellcraft taught artificers restraint,NONE
get ready son,Tapestry
reynald wished for an army to sweep away his enemies the fae king smiled beyond the great henge,NONE
cradle your rage close to your heart and nurture your grudge with hatred that you may unleash upon your foes a dragons fury tomor dragonspeaker shaman,Tapestry
snokk ran as fast as he could but the sound of hooves grew ever louder in his ears,Tapestry
when nothing but second best will do,Tapestry
before the glory of yawgmoth yes even this makes sense urza to gerrard,Tapestry
action this creature is a bloodhound formed entirely of water,Tapestry
the rod is a relic from ancient times    cruel vicious meanspirited times,Tapestry
are you tired you look tired,NONE
the husk splits like a madmans smile and mystery steps forth snowfur kitsune poet,NONE
when it comes down to it science is more art than science,Tapestry
remember the moral of the fireslinger fable with power comes isolation karn silver golem,Tapestry
the best construction makes the most satisfying destruction domri rade,NONE
as narset struggled to meditate tiny dragonlings spiraled around her conjuring thoughts of ancient clans,NONE
they cant feel pain they just wiggle cause theyre scared,Tapestry
when i have meditated on all outcomes my opponent has no recourse,Tapestry
in yavimaya flying low to join a battle can be a costly mistake,Tapestry
tamiyo wished only to observe the war but she soon realized neutrality was not an option,Tapestry
the elves and merfolk have nothing but bitterness for each other the trolls however find them both rather tasty,Tapestry
the path of faith is fortunately fraught with failure irini sengir,Tapestry
malice is appropriate when vengeance is called for,Tapestry
as long as my faith persists so shall i,Tapestry
never reject the kindness of a serpent it will not be offered twice druidic manuscript fragment,Tapestry
the only thing worse than a goblin is a goblin that knows his way around,Tapestry
it holds within it an unsolvable riddle a creative answer yields an invitation to the guild,Tapestry
my whisper becomes a thousand roars,Tapestry
gentle hands of stone whisk the careless from the crumbling ruins of pillardrop,Tapestry
by design the sarcophagus muffles the debtors moans but does not silence them,Tapestry
plucking the chicken elvish expression meaning flinging the monkey,Tapestry
the path is stable its the gusts all around it that are a bit whooshoopsbye kreq of sunder bay,NONE
it left behind an echoing emptiness more horrible than the grave,NONE
scores will die in the name of peace that is what you call compromise gideon jura to aurelia,Tapestry
make sure those wretches feed only upon the plagued the blood of the healthy is reserved for me alone garza zol plague queen,Tapestry
the rifts reach into infinite time streams bringing the divergent products of alternate pasts into the present,Tapestry
it blinked and flower petals fell like tears harthar sensing weakness attackedand his blood fell like petals shesul fass faerie bard,Tapestry
a fragile cocoon of dreaming will,Tapestry
nothing comes together as easily as it comes apart,Tapestry
remarkably dinner continued with no further interruptions,Tapestry
imps arent born knowing how to flyjust how to annoy,Tapestry
white dragons are unparalleled hunters keenly focused on slaughtering their enemies,Tapestry
north america legacy championship,Tapestry
if an anurids lucky itll find a warm tunnel for bedtime if a wurms lucky itll find a warm anurid for breakfast,Tapestry
a hydra tenders problem isnt having enough defenses but enough pots,Tapestry
the sky is her stage,Tapestry
the snapper is still when all else moves and strikes when all are dozing tales of the vintara forest,Tapestry
they who challenge a minotaur enjoy the taste of their own blood mirri of the weatherlight,Tapestry
though he eventually came to despise tocasia mishra listened well to her lessons on clarity of purpose unlike his brother he focused his mind on a single goal,Tapestry
we are bearers of the ancient light keepers of suncrowned heliods blessings fight and the light will protect you,NONE
ravnica held its breath as the hero of the resistancetheir last hopeflew through the sky his dark sword ready to strike a god,Tapestry
ive come to save the world,Tapestry
after a disastrous day of battle lavabrinks lightning mages were recalled,Tapestry
if the mardu were more in tune with their beasts they would not scare so easily jilaya temur whisperer,NONE
such an affliction appears to seek out the pure byro plague doctor,Tapestry
future past and present become one in the blink of an eye,NONE
if you want to truly test your survival skills walk the obelisk path when the drakes are feeding etha initiate of rhet crop,Tapestry
a giant statue of a dwarf is still a giant statue,NONE
nothing in nature goes to waste not even the rotting corpse of a goodfornothing bloodsucking vampire halana of ulvenwald,NONE
the time of condemnation is at hand dusk washes over the world and i consign you to eternal darkness,Tapestry
a living pulse is an irresistible temptation,Tapestry
the filthy towns of kjeldor are no place for anyone to live fyndhorn is our home now kolbjrn elder druid of the juniper order,Tapestry
why limit yourself to mortal law when you can outlive those who enforce it czaric orzhov prelate,NONE
merfolk tell their young of dandn humans of rag man dal tell tales of the dauthi and they are far worse,NONE
the scuzzback gang scavenges rusty armor covered in barbed protrusions no threat is more effective than the threat of infection,Tapestry
i cant claim to hunt all creatures there are some things in the jungle that simply cant be hunted garruk wildspeaker,Tapestry
this armor transcends the limitations of mere flesh and bone,NONE
my people are no longer slaves to the eldrazi beholden to the past we will determine our own future,Tapestry
a wolf without a pack is either a survivor or a brute,NONE
huge walls of ice block further travel we cant believe they are natural disa the restless journal entry,Tapestry
one part cunning one part wise and many many parts demented,Tapestry
folk of good heart will always find a home,Tapestry
her poppets bring joy to the truly depraved,NONE
to sculpt a mind is to see every memory and thought as an individual piece that can be rearrangedor removed jace beleren,Tapestry
natures most raw beauty is the circle perfect in its continuance with no break between death and life,Tapestry
bones scattered around us joined to form misshapen bodies we struck at them repeatedlythey fell but soon formed again with the same mocking look on their faceless skulls,Tapestry
only nature wreaks such lovely havoc,NONE
some predators can sense fear in their prey but the lamia is drawn to madness,Tapestry
a true shortcut isnt a way other people dont know its a way other people cant go,NONE
death lizard approaching capn brint doobin last words,NONE
as i desire so it shall be nicol bolas,NONE
stop smell the roses eat the peoples,NONE
when the ancestor saw the cruelty her human children were capable of her fury shook the world from this outburst sprang the warthogs nomad myth,Tapestry
when the architects of ravnica claim a structure will stand against a wurm they never mention for how long,Tapestry
froggy fighter at the gate draw your sword and meet your fate traditional childrens rhyme,NONE
an avatar he sculpts of fellowship and light,Tapestry
all are welcome in the angels light,NONE
cephalids shrink from the harsh glare of scrutiny,Tapestry
ow ow ow ow oooh ow ow,Tapestry
at his behest the kami war began to regain that which was taken,Tapestry
what wears down my people most i think is not the danger but the endless screeching outside our camp merrik aidar benalish patrol,Tapestry
gold coin battered helmet broken wrist boneall have the same value in the eyes of a harpy,Tapestry
tusks to splinter skulls steel to shatter scale warhammer inscription,Tapestry
any ship that sails on these mean seas for long is bound to pick up a ghost or two admiral beckett brass,Tapestry
the bogeyman doesnt disappear when you close your eyes,Tapestry
give me your hand and i will give you victory,Tapestry
ghoulcallers trying to get in geists trying to get out     this duty is never dull,NONE
the meal was exquisite the conversation less so,Tapestry
he gave the squirrels acorns they gave him vengeance,NONE
spells of madness often require a sacrifice of sanity,NONE
have you ever noticed how some flavor text has no relevance whatsoever to the card its on,Tapestry
if this is thinking i dont know what i was doing before,Tapestry
the mongoose blew out its candle and was asleep in bed before the room went dark llanowar fable,NONE
last to charge last to fall,Tapestry
crippling fear precedes it a foul stench accompanies it death follows in its wake,Tapestry
the path up the cliffs is nothing but steep switchbacks and rickety lifts made by elves maintained by humans and guarded by ogres but its the best way into the heart of murasa samila murasa expeditionary house,Tapestry
the venom cleanses the sickness from your body but it will not be pleasant and you may not survive pharikas blessings are fickle solon acolyte of pharika,NONE
they seek to break us let us show them our strength,NONE
they seek to break us let us show them our strength,NONE
a cage may keep you in but it does not keep the stones out,Tapestry
the dawnhart survivors welcome recruits of all shapes and sizes,NONE
you hide your actions from eyes on the ground but nothing escapes the clouds,Tapestry
keeping a millionman army fed was no easy task grain and rice caravans were the lifeblood of the empire,Tapestry
who says lightning never strikes twice storm shaman,Tapestry
to be counted among the warriors of setessas leina tower you must not fear death only failure,Tapestry
death is not a certainty erebos determines when a mortals time is up iadorna death priest of erebos,Tapestry
mercadias masks can no longer hide the truth our day has come at last chomanno,Tapestry
lo lord of layers proudly combcrested hero to hens father to feathers crowing suncaller weaver of wattle elder to eggs rooster saga,Tapestry
one of the many reasons why openair markets close at dusk,Tapestry
youll never get to the top if you dont know whos already there kaya,Tapestry
the earth walks strongest of all,Tapestry
the forest of argoth has developed a resistance to mechanical intrusion,Tapestry
swirling eddies of ash hide crumbling cliffs treacherous drops and the slavering maws of unknown evils,NONE
theyve returned for the mana rig but it no longer belongs to them viashino bey,Tapestry
you need a six all right everyone she needs a six,NONE
only a necromancer would create such a foul form of divination gerda agesdotter archmage of the unseen,Tapestry
the realm must never yield to the chaos of the wilds,Tapestry
the dryads told us to stay as no new horrors would come when it was so cold three of us left anyway the rest believed their lies and their skeletons werent found until the thaw disa the restless journal entry,Tapestry
im up here youre down there now whos the lower life form,Tapestry
for the mindminded mastermind,Tapestry
an axe may break upon a ribbon if the ribbons will is the stronger awylla elvish safewright,Tapestry
their buzzing makes my bones hum from a mile away galenti treasure hunter,NONE
i fight for my daughter who may not set foot on a battlefield for many years remember who you fight for,Tapestry
heck id settle for anything that even resembled a werewolf raf gyel of the quiver of kessig,Tapestry
the mysterious purpose of two of the rings had eluded esper magesuntil now,Tapestry
cautious not to repeat vigs mistakes the simic fuse life essences using magic alone each result is called a krasis,NONE
nothing is funnier to a devil than setting someoneanyoneon fire,Tapestry
challenge me with your strongest i will paint my sword with their blood,Tapestry
the delight of discovery drives the pursuit of knowledge,Tapestry
and the ignorant shall fall to the squirrels chip,NONE
he takes out his fear of heights on anything above his head,NONE
picking locks is for beginners,NONE
the love of nature    is a furious burning physical greed    mary webb the house in dormer forest,Tapestry
the tiger is always quick to fold,NONE
as soon as it surfaced we could all smell it its rancid breath reeked of halfdigested carrion and its own rotting innards dafri auriok champion,Tapestry
my medicine bag and i have treated countless wounds and illnesses but never have i seen so many made so sick for so long we will never eat squees cooking again orim journal,Tapestry
where hope has no champion evil rules all,NONE
who will stay the tyrants hand as ice and woe both grip our land the helpless feel his frozen brand the dynasty of winter kings,Tapestry
they leave a trail of ash and sorrow,NONE
is this the grave of a god a tunnel carved by the cosmos serpent it matters not it is no place for us iskene kannah storyteller,Tapestry
ill wring out your tiny mind like a sponge urborg witch,Tapestry
hey wait thats my boot darijo ivy street ruffian,Tapestry
the wise pay as much attention to what they throw away as to what they keep,Tapestry
the soldiers chopped and chopped and still the great tree stood frowning down at them,Tapestry
you should see your face right now,Tapestry
the first step toward transcending physical limitations is discarding assumptions about what is possible,Tapestry
dwell longest on the thoughts that shine brightest,Tapestry
sun quans long and successful rule in the years  to  was due to his ability to choose and foster talented advisors and generals,Tapestry
the dust beneath our feet was once part of a mighty civilization shall we too provide the path for a future generation sensei goldentail,Tapestry
spent a lifetime learning from predators picked up a few tricks,Tapestry
a permanent storm rages over the plain of cloudheath and drakes ride its currentstwo reminders that some elements of esper will not be controlled,Tapestry
the predator knows the true way of the world life is conflict only the strong survive garruk wildspeaker,Tapestry
here did the extinguisher steal the light from the world here will we sacrifice her to bring the great rekindling to our people illulia of nighthearth,Tapestry
shadow lances are crafted from harvested souls the more wicked the sinner the keener the blade,Tapestry
sing beauty sing for death and for the dead ashiok,Tapestry
only a madman could create such a door only an imbecile would open it,Tapestry
the beetles feed not on the flesh of corpses but on the metal grinding out the iron and steel to add to their own bulky shells,NONE
hush,NONE
they traverse the manastarved wastes in search of richer lands,NONE
the refuges defenses allow new recruits to see lesser eldrazi up close steeling their stomachs for whats to come,NONE
just think of me as the storm before the calm gerrard of the weatherlight,NONE
the gods think of us as insects perhaps there is wisdom in that perisophia the philosopher,Tapestry
every soldier has a place to stand and a role to play,Tapestry
laws apply only to those who lack the vision to see past them,Tapestry
no one knows when the tournament began all they know is that it will never end,NONE
every leaf tree and building in kujar has been placed to achieve maximum harmony in accordance with the elvish philosophy known as the great conduit,Tapestry
be fearless for a furious rebirth awaits you nylea god of the hunt,Tapestry
like their dragonlord the kolaghan take no trophies they find true fulfillment only in the battle itself in clash of steel and thunder of hooves,Tapestry
tamiyo wished only to observe the war but she soon realized neutrality was not an option,Tapestry
the forests cover offers shade shelter and an increased risk of sudden death,Tapestry
multanis heart is a seed and all of yavimaya is its flower there is as much life here as in the rest of dominaria together karn,Tapestry
do they seek knowledge or wealth are they bandits or benefactors it depends on who is chanting the tale nikou joraga bard,Tapestry
the truth will outshine all lies,NONE
ig and burf discovered the technique by accident when burf reached for his hammer and missed,Tapestry
to reach my age you must know when to bend with the winds and when to stand tall,NONE
in the soil of leadership sprout the seeds of immortality kaysa elder druid of the juniper,Tapestry
a pair of domesticated griffins escaped from captivity a century ago now the skies are filled with the songs of their descendants,Tapestry
the only thing that flies over the krosan forest is the wind,Tapestry
maybe they wanted to be on the winning side for once matoc lavamancer,Tapestry
he could handle any one of us but hes no match for all of us,Tapestry
this creature is inadequate send it to the splicers for innovation malcator executor of synthesis,NONE
throw that one back i dont like how its looking at me netos meletian fisherman,Tapestry
bravery shines brightest in a pure soul restela alaborn marshal,Tapestry
soothing whispers invite travelers to step closer closer closer    until they vanish soundlessly beneath the surface,Tapestry
an old family recipe for an old family grudge,Tapestry
when darkness closes in around us my blade will light our path,NONE
what was taken shall be restored arathel elvish queen,Tapestry
agreements with demons seldom end at the grave,Tapestry
her eyes blaze with the strength of twenty shields every glance is a salvation,NONE
bow before the might ofwait what,Tapestry
dance and bring forth the coil it is an umbilical to gaea herself fattening us with the earths rich bounty,NONE
he makes his home on the tallest mountain in sejiri where the vista is as endless as his patience,NONE
thanks to the wolves teljilad is the one area of mirrodin the myr dont see often,Tapestry
maybe next time,Tapestry
she is a theme of honor and renown    whose present courage may beat down our foes william shakespeare troilus and cressida,Tapestry
may they speed to their task for the skyknights alone cannot hold kjeldor safe arna kennerd skycaptain,NONE
hes paid his price now you pay mine,Tapestry
let them decry me for burning the dead im not giving those ghoulcallers any more fuel for their madness,Tapestry
magestudents drawn to the power of language choose silverquill the college of eloquence,NONE
wells that provide clean unhaunted water are rare enough to be worth building an entire town around,Tapestry
the bells may one day ring as an anthem of our own end kyu sageeye mystic,Tapestry
lets see how badly you want what you came for,Tapestry
vampires are now masters of their own fates commanders of their own legions,Tapestry
for a moment urza thought not of war and destruction but of the freedom of the skies,Tapestry
many tin street shops display a sign on the door no cloaks allowed,Tapestry
the concept of thoughtweft fascinates the nighthearth cult imagine bringing agony to an entire people by torturing just one,Tapestry
its speed will be equaled only by the swiftness of my enemys fall kaervek,Tapestry
one vampire for every family member ive lost,Tapestry
when raganorn unsealed the catacombs he found more than the dead and their treasures,NONE
its easy to lose sight of hope until you gaze out from my vantage point,Tapestry
many scholars believe that these creatures were the result of urzas first attempt at mechanical life perhaps created in his early days as an apprentice to tocasia,NONE
watch the voltage we dont need another charred crashing viashino bori andon izzet blastseeker,Tapestry
a crafter must imbue her weapon with part of her soulsomething the phyrexians are incapable of doing melira sylvok outcast,Tapestry
greven ilvec lifted vhati off his feet the fall will give you time to think on your failure,Tapestry
the selesyna welcome all to help them heal the citys wounds the price however is devotion to the guild and a selfless belief in trostani,Tapestry
the feline eternal felt lilianas command looked at her disdainfully flicked its paw and scampered away across the rooftops,Tapestry
death is no excuse to stop working,Tapestry
bring the spear of ancient briar bring the torch to light the pyre bring the one who trod our ground bring the spade to dig his mound,Tapestry
on otaria peace and harmony are rare places that provide both are cherished,Tapestry
enter and indulge your darkest fantasies for you may never pass this way again,Tapestry
light streaked down from the heavens and a voice whispered in the soldiers ear you shall not fall today,Tapestry
let everything return to its true nature so that destiny may takes its course,Tapestry
all questions will be answered during the hour of revelation,Tapestry
full of beauty and grace with a predators instincts   although she wanders i have always thought mirri belongs in llanowar most of all rofellos llanowar emissary,NONE
modern sarpadias swarming with thrulls its a testament to the orcs that theyve survived there so long elbieta argivian scholar,Tapestry
soramaro speaks through me listen and i will tell the wisdom of the ancestors,NONE
the spread of its hood eclipses all hope,NONE
a retreat to nature can inspire even the most jaded inventor,Tapestry
the storms of tarkir awaken more than dragons,Tapestry
they arent helping the forges send them to the surface furnace boss sector,NONE
phyrexia strives to simulate natural life but it cant resist improving on the design,NONE
what wears down my people most i think is not the danger but the endless screeching outside our camp merrik aidar benalish patrol,NONE
virtue cant survive without strength ardanna of the angelic council,NONE
you helped save my people from a phyrexian fate did you think i wouldnt return the favor eladamri to gerrard,Tapestry
only on the battlefield can we repay all the order has given us,NONE
from the first touch i know exactly what the metal wants to be,Tapestry
seen as unsavory the hunters were never allowed in townuntil one night they vanished,Tapestry
with carrion a rarity in the broken lands the hyenas that stalk the deserts hunt in packs,Tapestry
stand in the way of truth at your peril,Tapestry
many names and many memories bound together in grim purpose,Tapestry
unearthly and invisible fibers emanate from this sphere entangling all who draw near arcum dagsson soldevi machinist,Tapestry
show the enemy the true path and the spirit will yearn to follow it houn jeskai elder,Tapestry
blades and bravery go hand in hand,NONE
you can build a perfect machine out of imperfect parts urza,Tapestry
a vulshok weapon strikes with the fire of the forge that made it,NONE
its bigger than it thinks,Tapestry
if wisdom is a river then we cup our hands reach in and drink from it in sips the kami however are like fish swimming breathing surrounded in its presence dosan the falling leaf,Tapestry
mages often seek to emulate the powerful relics lost to time and apocalypse,Tapestry
boggarts divide the world into two categories things you can eat and things you have to chase down and pummel before you can eat,Tapestry
the second stage of the illness high fever and severe infectiousness phyrexian progress notes,NONE
there is no glory to be gained in the kingdom of the dead vec tomb inscription,Tapestry
if you pick a fight with one kithkin be ready to fight them all,Tapestry
known for their glowing horn and stonerattling roar zheng are the fiercest predators in the forest few survived before jiang yanggu came,Tapestry
so everyone gets what they truly deserve i will keep watch,Tapestry
one of the oriqs most powerful tools is the mage hunter a vile monstrosity created to seek out and snuff out the arcane,NONE
the only way to get mercadians to fight on the front lines is to give them really long weapons gerrard,Tapestry
if you hear a groaning noise in the cellar dont investigate dont split up just lock the door and barricade it emili guard captain,Tapestry
to survive you must seize every opportunity daghatar the adamant,NONE
where the nefashu pass blood rolls like a silk carpet,NONE
with innovative stabilizing techniques suja pavani brings this piece of the sky itself to the inventors fair,NONE
after seeing his lifes work drip away the mage decided it was a good time to go crazy,NONE
tawnos won fame as urzas greatest assistant after he created these warriors urza ended his apprenticeship promoting him directly to the rank of master,NONE
a lifetime of discipline forsaken in a moment of rage,NONE
squadrons of skyknights are available for deployment around the clock capable of reaching any district in the city within minutes,Tapestry
since it eats only carrion sometimes it needs to make some from scratch,Tapestry
lost in the woods is an optimistic way to describe a villagers disappearance found in the woods is frequently more appropriate,Tapestry
those dragons grow fast for a while they feed on squirrels and goblins and then suddenly youre missing a mammoth hurdek mazar mammoth trainer,Tapestry
i implore you not to forget the horrors of the past you would have us start the brothers war anew sorine relicbane soldevi heretic,NONE
it falls to the gods to help all become worthy of the afterlife,Tapestry
hate gets you only so far a pointy stick can close the rest of the distance,NONE
one tiny peg pulled from a single wagon wheel and an entire district grinds to a halt lazav,Tapestry
invincible is just a word gideon jura,Tapestry
ive come to reclaim what is mine and you greven are mine volrath,Tapestry
